ID,Todo,Status,Category,Due Date,Remarks,!
1,do homework,done,school,No date,None,!
3,run an errand,undone,personal,11/2/2024,None,!
7,sleeping,undone,No category,27/2/2024,sleeping 10 hours a day,!
2,clean a house and wash dishes,done,housework,7/2/2024,put in a dishwasher,
5,shopping,undone,No category,No date,None, 
10,nothing,undone,No category,5/5/2025,None,
6,have lunch,undone,school,No date,None, 
lol,hahah,undone,eiei,10/2/2024,5555, 
123,test,undone,test,27/2/2024,None, 
456,test2,undone,test,1/2/2000,None, 
789,test3,undone,test,31/12/2025,None, 